_id,key,red3_team,red2_team,red1_team,blue3_team,blue2_team,blue1_team,red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
67da17083136e1e6940cbf4f,2025mosl_qm24,4256,931,5934,4256,931,5934,1633,1489,1588,1633,1489,1588,40.65,20.11,33.99,40.65,20.11,33.99,7.86,4.21,5.8,7.86,4.21,5.8,26.88,13.35,20.94,26.88,13.35,20.94,5.9,2.55,7.24,5.9,2.55,7.24,355,1814,595,355,1814,595,0.6154,0.3077,0.5714,0.6154,0.3077,0.5714,100,38
67da17083136e1e6940cbf50,2025mosl_qm25,967,10322,1706,967,10322,1706,1624,1422,1835,1624,1422,1835,39.31,12.34,70.7,39.31,12.34,70.7,5.16,5.68,19.06,5.16,5.68,19.06,26.47,4.97,41.96,26.47,4.97,41.96,7.67,1.7,9.68,7.67,1.7,9.68,390,3099,18,390,3099,18,0.7333,0.5,0.875,0.7333,0.5,0.875,144,124
67da17083136e1e6940cbf51,2025mosl_qm26,6744,10317,6391,6744,10317,6391,1477,1496,1594,1477,1496,1594,18.61,20.89,34.77,18.61,20.89,34.77,3.53,5.58,6.25,3.53,5.58,6.25,13.25,12.25,26.55,13.25,12.25,26.55,1.83,3.06,1.96,1.83,3.06,1.96,2037,1712,564,2037,1712,564,0.4,0.5,0.5385,0.4,0.5,0.5385,69,100
67da17083136e1e6940cbf52,2025mosl_qm27,5583,1178,2408,5583,1178,2408,1405,1464,1312,1405,1464,1312,10.55,17.06,1.23,10.55,17.06,1.23,1.79,2.91,0.17,1.79,2.91,0.17,6.57,10.69,0.45,6.57,10.69,0.45,2.2,3.46,0.61,2.2,3.46,0.61,3322,2412,3704,3322,2412,3704,0.2,0.2,0.2,0.2,0.2,0.2,15,72
67da17083136e1e6940cbf53,2025mosl_qm28,7452,5492,8077,7452,5492,8077,1463,1530,1433,1463,1530,1433,16.86,25.53,13.49,16.86,25.53,13.49,2.25,3.28,2.96,2.25,3.28,2.96,13.78,17.04,7.5,13.78,17.04,7.5,0.83,5.22,3.03,0.83,5.22,3.03,2452,1180,2953,2452,1180,2953,0.5,0.5385,0.5455,0.5,0.5385,0.5455,57,36
67da17083136e1e6940cbf54,2025mosl_qm29,9401,5822,1329,9401,5822,1329,1619,1519,1535,1619,1519,1535,38.49,23.98,26.2,38.49,23.98,26.2,14.23,5.38,6.33,14.23,5.38,6.33,18.08,16.28,17.46,18.08,16.28,17.46,6.18,2.32,2.4,6.18,2.32,2.4,414,1336,1118,414,1336,1118,0.7333,0.4,0.6875,0.7333,0.4,0.6875,97,34
67da17083136e1e6940cbf55,2025mosl_qm3,7747,5934,8077,7747,5934,8077,1443,1588,1433,1443,1588,1433,14.59,33.99,13.49,14.59,33.99,13.49,2.25,5.8,2.96,2.25,5.8,2.96,10.29,20.94,7.5,10.29,20.94,7.5,2.05,7.24,3.03,2.05,7.24,3.03,2790,595,2953,2790,595,2953,0.2,0.5714,0.5455,0.2,0.5714,0.5455,92,57
67da17083136e1e6940cbf56,2025mosl_qm30,5060,8069,4931,5060,8069,4931,1465,1554,1459,1465,1554,1459,17.16,29,16.49,17.16,29,16.49,3.82,3.24,2.25,3.82,3.24,2.25,10.95,19.9,6.92,10.95,19.9,6.92,2.38,5.86,7.32,2.38,5.86,7.32,2397,879,2507,2397,879,2507,0.5,0.4167,0.5333,0.5,0.4167,0.5333,78,113
67da17083136e1e6940cbf57,2025mosl_qm31,10322,5934,3067,10322,5934,3067,1422,1588,1497,1422,1588,1497,12.34,33.99,21.11,12.34,33.99,21.11,5.68,5.8,2.96,5.68,5.8,2.96,4.97,20.94,16.32,4.97,20.94,16.32,1.7,7.24,1.82,1.7,7.24,1.82,3099,595,1681,3099,595,1681,0.5,0.5714,0.4667,0.5,0.5714,0.4667,69,64
67da17083136e1e6940cbf58,2025mosl_qm32,6817,5583,4330,6817,5583,4330,1444,1405,1505,1444,1405,1505,14.73,10.55,22.06,14.73,10.55,22.06,3.05,1.79,2.55,3.05,1.79,2.55,9.35,6.57,17.12,9.35,6.57,17.12,2.32,2.2,2.39,2.32,2.2,2.39,2764,3322,1569,2764,3322,1569,0.5,0.2,0.3333,0.5,0.2,0.3333,37,39
