red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
1555,1610,1429,1555,1610,1429,29.16,37.17,13.06,29.16,37.17,13.06,3.61,4.67,2.75,3.61,4.67,2.75,25.61,31.13,8.85,25.61,31.13,8.85,-0.05,1.37,1.47,-0.05,1.37,1.47,865,462,3007,865,462,3007,0.4853,0.6613,0.35,0.4853,0.6613,0.35,62,62
1495,1399,1403,1495,1399,1403,20.87,9.9,10.38,20.87,9.9,10.38,4.22,2.45,2.04,4.22,2.45,2.04,14.88,5.65,5.73,14.88,5.65,5.73,1.77,1.8,2.61,1.77,1.8,2.61,1714,3387,3339,1714,3387,3339,0.6429,0.25,0.35,0.6429,0.25,0.35,39,40
1464,1517,1413,1464,1517,1413,16.99,23.72,11.4,16.99,23.72,11.4,3.76,3.71,4.4,3.76,3.71,4.4,11.21,19.04,5.98,11.21,19.04,5.98,2.01,0.97,1.01,2.01,0.97,1.01,2423,1358,3224,2423,1358,3224,0.52,0.4138,0.5385,0.52,0.4138,0.5385,56,82
1334,1641,1347,1334,1641,1347,3.42,41.98,4.66,3.42,41.98,4.66,2.5,4.5,3.08,2.5,4.5,3.08,-0.06,29.73,0.16,-0.06,29.73,0.16,0.98,7.74,1.43,0.98,7.74,1.43,3685,321,3665,3685,321,3665,0.4,0.8,0.1,0.4,0.8,0.1,55,93
1384,1513,1391,1384,1513,1391,8.39,23.24,9.05,8.39,23.24,9.05,0.8,2.66,2.6,0.8,2.66,2.6,7.09,19.52,5.94,7.09,19.52,5.94,0.5,1.06,0.5,0.5,1.06,0.5,3506,1418,3452,3506,1418,3452,0.2,0.4286,0.2,0.2,0.4286,0.2,60,85
1494,1429,1528,1494,1429,1528,20.68,13.06,25.31,20.68,13.06,25.31,2.74,2.75,3.78,2.74,2.75,3.78,12.43,8.85,20.39,12.43,8.85,20.39,5.51,1.47,1.13,5.51,1.47,1.13,1737,3007,1205,1737,3007,1205,0.6,0.35,0.5577,0.6,0.35,0.5577,52,62
1449,1580,1410,1449,1580,1410,15.34,32.77,11.09,15.34,32.77,11.09,3.3,4.68,1.92,3.3,4.68,1.92,11.08,26.99,6.86,11.08,26.99,6.86,0.96,1.1,2.3,0.96,1.1,2.3,2669,645,3256,2669,645,3256,0.4,0.5,0.5,0.4,0.5,0.5,67,71
1403,1480,1537,1403,1480,1537,10.38,18.89,26.48,10.38,18.89,26.48,2.04,3.44,4.81,2.04,3.44,4.81,5.73,14.17,20.05,5.73,14.17,20.05,2.61,1.28,1.62,2.61,1.28,1.62,3339,1990,1090,3339,1990,1090,0.35,0.5417,0.463,0.35,0.5417,0.463,71,115
1580,1610,1495,1580,1610,1495,32.77,37.17,20.87,32.77,37.17,20.87,4.68,4.67,4.22,4.68,4.67,4.22,26.99,31.13,14.88,26.99,31.13,14.88,1.1,1.37,1.77,1.1,1.37,1.77,645,462,1714,645,462,1714,0.5,0.6613,0.6429,0.5,0.6613,0.6429,89,31
1524,1700,1568,1524,1700,1568,24.73,51.02,31.07,24.73,51.02,31.07,5.61,11.88,5.63,5.61,11.88,5.63,16.9,29.92,17.97,16.9,29.92,17.97,2.23,9.21,7.47,2.23,9.21,7.47,1266,154,750,1266,154,750,0.4815,0.8387,0.5781,0.4815,0.8387,0.5781,73,71
